,StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,GlobalTeamID,Updated,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,EffectiveFieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,OffensiveReboundsPercentage,DefensiveReboundsPercentage,TotalReboundsPercentage,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,TrueShootingAttempts,TrueShootingPercentage,PlayerEfficiencyRating,AssistsPercentage,StealsPercentage,BlocksPercentage,TurnOversPercentage,UsageRatePercentage,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,PlusMinus,DoubleDoubles,TripleDoubles,FantasyPointsFantasyDraft,IsClosed,LineupConfirmed,LineupStatus
11,904797,22,20000471,1,2022,Eric Gordon,HOU,SG,46,20000022,2022-06-20T23:13:41,57,460.0,688,18,110.4,232.4,19.6,24.1,59.3,108.4,22.6,51.1,124.0,17.0,43.3,55.6,32.1,2.5,40.4,46.6,0.2,1.1,0.6000000000000001,63.4,11.5,3.1,44.1,26.0,315.2,256.8,25.3,2.5,2.4,0.1,0.2,2.5,3.2,479.0,510.0,479.0,-72.5,0.0,0.0,510.0,False,,Scrambled
12,904110,15,20000474,1,2022,Jrue Holiday,MIL,PG,64,20000015,2022-06-20T23:13:41,67,973.4,909,15,196.9,393.0,20.6,23.5,142.6,260.8,22.5,54.4,132.3,16.9,56.4,74.2,31.4,28.4,95.6,124.0,0.6000000000000001,1.9,1.2,188.3,44.5,11.9,75.4,54.8,504.7,425.7,24.4,4.0,13.1,0.4,0.2,2.6,4.0,1029.9,1051.9,1029.9,175.5,2.0,0.0,1051.9,False,,Scrambled
13,904077,26,20000482,1,2022,Draymond Green,GS,PF,44,20000026,2022-06-20T23:13:41,46,541.5,547,23,55.6,105.9,21.6,22.9,49.0,83.6,24.1,2.7,22.2,12.2,24.7,37.5,27.2,18.5,119.9,138.4,0.6000000000000001,3.9,2.3,131.8,25.5,20.6,57.3,56.0,142.6,122.4,24.0,2.9,13.4,0.4,0.6000000000000001,13.1,2.4,587.6,583.4,587.6,78.3,0.7000000000000001,0.2,583.4,False,,Scrambled
14,905125,30,20000483,1,2022,Harrison Barnes,SAC,SF,77,20000030,2022-06-20T23:13:41,77,856.3,1065,1,161.1,343.6,19.3,22.8,102.6,195.3,21.6,58.5,148.3,16.2,140.5,170.2,34.0,33.8,144.2,178.0,0.6000000000000001,2.5,1.5,76.6,21.8,2.4,48.6,38.7,521.2,418.5,25.7,3.2,1.8,0.2,0.1,1.8,3.2,883.9,921.8,883.9,-154.1,0.8,0.0,921.8,False,,Scrambled
15,904089,26,20000485,1,2022,Stephen Curry,GS,PG,64,20000026,2022-06-20T23:13:41,64,1091.0,911,2,220.4,504.3,18.0,22.8,103.0,195.3,21.7,117.4,309.0,15.7,113.3,122.8,38.0,14.0,124.0,138.0,0.30000000000000004,2.4,1.4,166.4,35.0,3.9,84.9,53.6,671.6,558.3,24.8,10.8,12.5,0.30000000000000004,0.2,2.2,12.8,1135.5,1207.7,1135.5,208.9,2.0,0.30000000000000004,1207.7,False,,Scrambled
16,904120,26,20000486,1,2022,Klay Thompson,GS,SG,32,20000026,2022-06-20T23:13:41,32,394.3,387,21,101.4,236.1,17.7,21.8,54.4,114.1,19.7,47.0,122.0,15.9,19.0,21.0,37.2,2.5,45.3,51.5,0.30000000000000004,2.1,1.2,36.3,2.7,2.9,17.7,22.2,268.6,245.3,22.5,3.6,2.7,0.1,0.30000000000000004,1.1,12.3,407.9,429.2,407.9,27.2,0.0,0.0,429.2,False,,Scrambled
17,904072,26,20000487,1,2022,Andre Iguodala,GS,SF,0,20000026,2022-06-20T23:13:41,31,199.8,248,20,19.0,49.9,15.7,18.4,11.9,19.4,25.4,2.9,30.5,3.9,2.5,3.4,30.9,3.6,32.5,41.2,0.7000000000000001,2.4,1.5,47.0,11.1,3.7,11.5,14.0,51.1,53.5,19.7,2.4,10.2,0.4,0.6000000000000001,3.0,1.9,220.0,211.2,220.0,47.0,0.0,0.0,211.2,False,,Scrambled
18,904818,30,20000492,1,2022,Justin Holiday,SAC,SG,65,20000030,2022-06-20T23:13:41,74,526.9,847,12,107.5,272.7,16.2,21.8,34.6,74.2,19.2,72.9,198.6,15.1,20.6,25.5,33.2,11.9,66.3,78.3,0.30000000000000004,1.5,0.9,52.7,23.5,13.6,28.8,63.4,308.6,284.0,22.4,2.0,1.5,0.2,0.2,1.6,2.7,564.0,581.7,564.0,-84.0,0.0,0.0,581.7,False,,Scrambled
19,904097,15,20000497,1,2022,Giannis Antetokounmpo,MIL,PF,68,20000015,2022-06-20T23:13:41,67,1493.3,908,4,283.9,512.9,22.8,24.0,254.6,413.2,25.4,29.3,99.7,12.1,227.8,315.6,29.7,55.2,265.3,320.5,1.1,12.5,3.2,159.9,29.7,37.5,90.2,87.3,824.8,651.8,26.1,15.5,13.1,0.30000000000000004,0.7000000000000001,2.1,14.5,1560.5,1600.0,1560.5,163.6,19.0,0.7000000000000001,1600.0,False,,Scrambled
20,937496,11,20000498,1,2022,Ersan Ilyasova,CHI,PF,0,20000011,2022-06-20T23:13:41,1,0.0,1,12,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,-4.6,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.8,0.0,0.0,0.0,False,,Scrambled
