Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS_Predicted,AST_Predicted
29,RJ Barrett,SG,22,NYK,73,73,33.9,7.0,16.1,0.434,1.7,5.3,0.31,5.3,10.8,0.495,0.485,4.0,5.4,0.74,0.8,4.2,5.0,2.8,0.4,0.2,2.2,2.5,19.6,10.678254794969424,2.3715697058087417
30,Will Barton,SG,32,TOT,56,2,17.7,2.5,6.5,0.379,1.2,3.2,0.367,1.3,3.3,0.391,0.47,0.7,0.8,0.787,0.3,2.2,2.4,2.0,0.5,0.2,0.9,1.0,6.8,3.8630552649491605,1.5032430616527144
30,Will Barton,SG,32,WAS,40,0,19.6,2.8,7.1,0.386,1.3,3.5,0.377,1.5,3.7,0.395,0.477,0.9,1.1,0.778,0.3,2.5,2.8,2.4,0.4,0.3,1.1,1.0,7.7,24.430013539733977,4.884886226817091
30,Will Barton,SG,32,TOR,16,2,13.2,1.8,4.9,0.354,0.9,2.6,0.333,0.9,2.3,0.378,0.443,0.1,0.1,1.0,0.3,1.3,1.6,1.1,0.7,0.2,0.2,1.1,4.5,5.615161253724679,0.7186621240425102
31,Charles Bassey,C,22,SAS,35,2,14.5,2.5,3.9,0.644,0.1,0.2,0.375,2.4,3.6,0.661,0.656,0.6,1.1,0.595,2.1,3.4,5.5,1.3,0.5,0.9,1.2,2.1,5.7,9.84936081660844,2.0388824998344623
32,Keita Bates-Diop,SF,27,SAS,67,42,21.7,3.5,6.9,0.508,0.8,2.1,0.394,2.7,4.8,0.557,0.568,1.8,2.2,0.793,1.0,2.7,3.7,1.5,0.7,0.3,0.8,0.9,9.7,5.9191676013683425,1.5936176872290075
33,Nicolas Batum,PF,34,LAC,78,19,21.9,2.1,4.9,0.42,1.6,4.1,0.391,0.5,0.8,0.563,0.583,0.4,0.6,0.708,0.8,3.0,3.8,1.6,0.7,0.6,0.6,1.9,6.1,-0.37063307132767687,-0.3105089495747939
34,Darius Bazley,PF,22,TOT,43,1,14.3,1.9,4.3,0.454,0.5,1.2,0.377,1.5,3.0,0.485,0.508,0.9,1.6,0.543,0.8,2.4,3.2,0.9,0.5,0.8,0.6,1.0,5.2,10.523423806308372,2.5900717355817355
34,Darius Bazley,PF,22,OKC,36,1,15.4,2.0,4.4,0.449,0.5,1.3,0.4,1.5,3.1,0.469,0.506,1.0,1.8,0.554,0.8,2.6,3.4,0.9,0.5,0.8,0.6,1.0,5.4,3.8361165377918756,0.38497044047950135
34,Darius Bazley,PF,22,PHO,7,0,8.7,1.7,3.6,0.48,0.3,1.1,0.25,1.4,2.4,0.588,0.52,0.3,0.7,0.4,0.7,1.6,2.3,0.9,0.4,0.7,0.7,1.3,4.0,3.286027845565533,0.28219970525043836
35,Bradley Beal,SG,29,WAS,50,50,33.5,8.9,17.6,0.506,1.6,4.4,0.365,7.3,13.2,0.552,0.551,3.8,4.6,0.842,0.8,3.1,3.9,5.4,0.9,0.7,2.9,2.1,23.2,6.377839747477295,1.4671335816335538
36,Malik Beasley,SG,26,TOT,81,27,25.8,4.6,11.6,0.395,2.9,8.1,0.357,1.7,3.4,0.484,0.52,0.6,0.8,0.769,0.4,3.1,3.5,1.5,0.8,0.1,1.1,1.3,12.7,22.769175284269615,5.577693164775244
36,Malik Beasley,SG,26,UTA,55,13,26.8,4.8,12.2,0.396,3.1,8.6,0.359,1.7,3.6,0.485,0.522,0.7,0.8,0.841,0.5,3.1,3.6,1.7,0.8,0.1,1.1,1.4,13.4,4.611365933663515,1.010042634279721
36,Malik Beasley,SG,26,LAL,26,14,23.9,4.0,10.3,0.392,2.5,7.2,0.353,1.5,3.1,0.481,0.515,0.5,0.8,0.619,0.3,3.0,3.3,1.2,0.8,0.0,1.2,1.2,11.1,3.7751199464594647,0.875860301789606
37,MarJon Beauchamp,SF,22,MIL,52,11,13.5,1.8,4.7,0.395,0.9,2.7,0.331,0.9,1.9,0.485,0.492,0.5,0.7,0.73,0.7,1.5,2.2,0.7,0.4,0.1,0.9,1.4,5.1,3.860959315941569,1.1843441827466816
38,D?vis Bert?ns,PF,30,DAL,45,1,10.9,1.5,3.6,0.431,1.2,3.1,0.39,0.3,0.4,0.737,0.603,0.3,0.3,0.867,0.2,1.0,1.2,0.5,0.2,0.2,0.2,1.2,4.6,4.429440479580603,0.6336145127818029
39,Patrick Beverley,PG,34,TOT,67,67,27.1,2.1,5.4,0.4,1.2,3.6,0.335,1.0,1.8,0.529,0.511,0.7,1.0,0.723,0.7,3.0,3.7,2.9,0.9,0.6,0.9,2.8,6.2,5.2639372482552,1.1125273117204366
39,Patrick Beverley,PG,34,LAL,45,45,26.9,2.2,5.4,0.402,1.2,3.5,0.348,0.9,1.8,0.506,0.517,0.9,1.1,0.78,0.5,2.6,3.1,2.6,0.9,0.6,0.9,2.8,6.4,1.1007840275006466,-0.18334175346315607
39,Patrick Beverley,PG,34,CHI,22,22,27.5,2.1,5.4,0.395,1.1,3.7,0.309,1.0,1.7,0.579,0.5,0.4,0.7,0.533,0.9,4.0,4.9,3.5,1.0,0.7,0.8,2.9,5.8,6.996916738095998,1.8558633243310303
40,Saddiq Bey,SF,23,TOT,77,37,27.6,4.6,10.9,0.422,2.0,5.4,0.361,2.6,5.4,0.483,0.513,2.7,3.1,0.861,1.3,3.4,4.7,1.5,0.9,0.2,0.9,1.6,13.8,14.293734182327766,4.428739695411654
40,Saddiq Bey,SF,23,DET,52,30,28.8,4.7,11.7,0.404,1.9,5.6,0.345,2.8,6.0,0.46,0.488,3.5,4.0,0.861,1.1,3.5,4.7,1.6,1.0,0.2,1.0,1.7,14.8,3.159027407127854,0.2254321701402242
40,Saddiq Bey,SF,23,ATL,25,7,25.2,4.3,9.2,0.47,2.0,5.0,0.4,2.3,4.2,0.552,0.578,1.0,1.2,0.862,1.6,3.2,4.8,1.4,0.8,0.0,0.7,1.5,11.6,27.486887475011766,5.211227952246698
41,Khem Birch,C,30,TOR,20,0,8.1,1.0,1.6,0.594,0.1,0.1,0.5,0.9,1.5,0.6,0.609,0.2,0.3,0.8,0.4,0.9,1.3,0.4,0.3,0.3,0.4,1.2,2.2,9.84701922591895,2.7823105566737634
42,Goga Bitadze,C,23,TOT,38,1,12.0,1.8,3.3,0.552,0.2,0.7,0.231,1.7,2.6,0.636,0.576,0.6,1.1,0.548,1.6,2.0,3.6,1.0,0.4,0.7,0.6,1.7,4.4,6.559594318084043,2.528828388783207
42,Goga Bitadze,C,23,IND,21,0,9.6,1.3,2.5,0.519,0.2,0.7,0.286,1.1,1.8,0.605,0.558,0.5,1.1,0.458,1.2,1.1,2.3,0.9,0.4,0.5,0.6,1.6,3.3,5.7953385852730905,1.4353515263225778
42,Goga Bitadze,C,23,ORL,17,1,15.0,2.5,4.3,0.575,0.1,0.7,0.167,2.4,3.6,0.656,0.589,0.7,1.1,0.667,2.1,3.1,5.2,1.2,0.4,0.9,0.6,1.8,5.8,20.547500439039577,4.515584353746773
43,Bismack Biyombo,C,30,PHO,61,14,14.3,2.0,3.4,0.578,0.0,0.0,0.0,2.0,3.4,0.578,0.578,0.4,1.1,0.357,1.5,2.8,4.3,0.9,0.3,1.4,0.8,1.9,4.3,5.291594237560095,1.064333072640363
44,Buddy Boeheim,PG,23,DET,10,0,9.0,0.5,2.7,0.185,0.4,2.5,0.16,0.1,0.2,0.5,0.259,0.2,0.2,1.0,0.2,0.4,0.6,0.4,0.2,0.0,0.0,0.6,1.6,0.411229708052119,-0.21990708970301642
45,Bogdan Bogdanovi?,SG,30,ATL,54,9,27.9,5.1,11.3,0.447,2.7,6.7,0.406,2.4,4.6,0.506,0.566,1.2,1.4,0.831,0.4,2.6,3.1,2.8,0.8,0.3,1.2,1.6,14.0,10.816070747658813,2.858694813372565
46,Bojan Bogdanovi?,PF,33,DET,59,59,32.1,7.3,14.9,0.488,2.5,6.0,0.411,4.8,9.0,0.539,0.57,4.5,5.1,0.884,0.6,3.2,3.8,2.6,0.6,0.1,2.3,1.9,21.6,17.498134526975097,4.05861702311261
47,Bol Bol,PF,23,ORL,70,33,21.5,3.7,6.8,0.546,0.4,1.6,0.265,3.3,5.2,0.633,0.577,1.2,1.5,0.759,1.0,4.8,5.8,1.0,0.4,1.2,1.6,1.3,9.1,10.535016299746996,2.215991612463718
48,Leandro Bolmaro,SG,22,UTA,14,0,4.9,0.2,1.4,0.15,0.0,0.3,0.0,0.2,1.1,0.188,0.15,0.0,0.0,0.0,0.3,0.2,0.5,0.5,0.2,0.1,0.5,0.7,0.4,9.527194597869451,1.506089430886695
49,Devin Booker,SG,26,PHO,53,53,34.6,9.9,20.1,0.494,2.1,6.0,0.351,7.8,14.2,0.554,0.546,5.8,6.8,0.855,0.9,3.7,4.5,5.5,1.0,0.3,2.7,3.0,27.8,1.0563902900030482,-0.19347861440461145
50,Brandon Boston Jr.,SG,21,LAC,22,1,11.3,2.3,5.5,0.418,0.5,1.3,0.414,1.8,4.2,0.419,0.467,1.3,1.7,0.763,0.3,1.0,1.4,0.9,0.4,0.0,0.5,1.0,6.5,6.312218830935565,1.7455838046169063
51,Chris Boucher,PF,30,TOR,76,0,20.0,3.4,7.0,0.493,0.8,2.5,0.328,2.6,4.5,0.585,0.552,1.7,2.2,0.762,2.1,3.5,5.5,0.4,0.6,0.8,0.5,1.9,9.4,12.237220191926347,2.8486240791062705
52,James Bouknight,SG,22,CHO,34,0,15.1,2.0,5.7,0.358,1.0,3.2,0.303,1.1,2.5,0.429,0.443,0.6,0.9,0.667,0.2,1.9,2.1,1.2,0.4,0.1,0.9,1.4,5.6,12.87345705685788,2.365145799557751
53,Jamaree Bouyea,PG,23,TOT,5,0,14.2,1.2,2.8,0.429,0.4,1.2,0.333,0.8,1.6,0.5,0.5,0.2,0.4,0.5,0.2,1.0,1.2,0.8,0.8,0.4,0.8,1.2,3.0,7.5636299545693895,2.0584946753876103
53,Jamaree Bouyea,PG,23,MIA,4,0,16.3,1.5,3.3,0.462,0.5,1.3,0.4,1.0,2.0,0.5,0.538,0.3,0.5,0.5,0.3,1.0,1.3,1.0,1.0,0.5,1.0,1.3,3.8,3.750055173208782,1.0934196367067375
53,Jamaree Bouyea,PG,23,WAS,1,0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,24.8538486744729,5.20127515715037
54,Tony Bradley,C,25,CHI,12,0,2.8,0.5,1.0,0.5,0.3,0.4,0.6,0.3,0.6,0.429,0.625,0.3,0.3,1.0,0.1,0.8,0.9,0.1,0.1,0.1,0.1,0.2,1.6,3.7440371169069415,0.23748148496974575
55,Malaki Branham,SF,19,SAS,66,32,23.5,4.1,9.3,0.44,1.2,3.9,0.302,2.9,5.4,0.539,0.503,0.9,1.1,0.829,0.4,2.3,2.7,1.9,0.5,0.1,1.2,1.7,10.2,17.34928970626393,4.258368576816046
56,Jarrell Brantley,PF,26,UTA,4,0,9.8,2.0,3.5,0.571,1.0,2.3,0.444,1.0,1.3,0.8,0.714,0.5,0.5,1.0,0.3,1.3,1.5,0.8,0.0,0.5,0.5,0.8,5.5,3.2040647218793863,0.9198994976241353
57,Christian Braun,SG,21,DEN,76,6,15.5,1.9,3.8,0.495,0.4,1.3,0.354,1.4,2.5,0.565,0.554,0.5,0.8,0.625,0.6,1.8,2.4,0.8,0.5,0.2,0.5,1.3,4.7,10.431649537306058,2.624727465203549
58,Mikal Bridges,SF,26,TOT,83,83,35.7,7.1,15.3,0.468,2.0,5.3,0.382,5.1,9.9,0.514,0.535,3.8,4.3,0.895,1.0,3.4,4.4,3.3,1.1,0.7,1.5,1.9,20.1,20.707988840099567,4.760693829453871
58,Mikal Bridges,SF,26,PHO,56,56,36.4,6.3,13.6,0.463,1.8,4.7,0.387,4.5,9.0,0.503,0.529,2.8,3.1,0.897,1.0,3.3,4.3,3.6,1.2,0.8,1.4,2.1,17.2,2.4734742087803445,1.7301938036661655
58,Mikal Bridges,SF,26,BRK,27,27,34.2,8.9,18.6,0.475,2.5,6.7,0.376,6.3,11.9,0.531,0.543,5.9,6.6,0.894,0.9,3.6,4.5,2.7,1.0,0.6,1.8,1.6,26.1,2.93509622684866,0.5418151040466119
59,Oshae Brissett,SF,24,IND,65,2,16.7,1.9,4.9,0.386,0.7,2.4,0.31,1.2,2.5,0.457,0.461,1.6,2.2,0.717,1.0,2.4,3.4,0.7,0.5,0.2,0.5,1.2,6.1,1.5277079941850449,-0.05986988752175226
60,Malcolm Brogdon,PG,30,BOS,67,0,26.0,5.3,10.9,0.484,2.0,4.4,0.444,3.3,6.5,0.51,0.574,2.4,2.7,0.87,0.6,3.6,4.2,3.7,0.7,0.3,1.5,1.6,14.9,22.53882408019249,5.3008134183797875
61,Dillon Brooks,SF,27,MEM,73,73,30.3,5.4,13.6,0.396,2.0,6.0,0.326,3.4,7.6,0.451,0.468,1.6,2.1,0.779,0.6,2.7,3.3,2.6,0.9,0.2,1.4,3.3,14.3,2.546511516481279,0.5838326088269477
62,Bruce Brown,SG,26,DEN,80,31,28.5,4.5,9.3,0.483,1.1,3.2,0.358,3.3,6.1,0.548,0.545,1.5,1.9,0.758,0.8,3.3,4.1,3.4,1.1,0.6,1.5,2.4,11.5,16.64806877593883,4.003008876293
63,Greg Brown III,PF,21,POR,16,0,5.8,0.7,1.8,0.393,0.1,0.4,0.143,0.6,1.3,0.476,0.411,0.3,0.8,0.417,0.1,1.1,1.2,0.2,0.3,0.3,0.4,0.8,1.8,8.991497205129033,3.1539485652298276
64,Jaylen Brown,SF,26,BOS,67,67,35.9,10.1,20.6,0.491,2.4,7.3,0.335,7.7,13.4,0.576,0.55,3.9,5.1,0.765,1.2,5.7,6.9,3.5,1.1,0.4,2.9,2.6,26.6,9.506488353987724,2.624589748241758
65,Kendall Brown,SG,19,IND,6,0,6.7,0.7,1.2,0.571,0.0,0.2,0.0,0.7,1.0,0.667,0.571,0.2,0.3,0.5,0.3,0.7,1.0,0.5,0.7,0.0,0.3,1.5,1.5,14.948135231658206,2.921662174747954
66,Moses Brown,C,23,TOT,36,1,8.2,1.7,2.7,0.635,0.0,0.0,0.0,1.7,2.7,0.635,0.635,0.9,2.0,0.458,1.6,2.3,3.9,0.1,0.1,0.4,0.4,1.1,4.3,12.764727919602281,2.446353998563096
66,Moses Brown,C,23,LAC,34,1,8.5,1.8,2.8,0.635,0.0,0.0,0.0,1.8,2.8,0.635,0.635,1.0,2.1,0.458,1.7,2.4,4.1,0.1,0.1,0.4,0.4,1.1,4.6,6.501582917433005,2.5338942402900364
66,Moses Brown,C,23,BRK,2,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,19.166996589747647,4.637671443191294
67,Sterling Brown,SG,27,LAL,4,0,6.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.8,1.3,2.0,0.5,0.8,0.0,0.0,1.0,0.0,8.460905218379597,2.0081561901405887
68,Troy Brown Jr.,SF,23,LAL,76,45,24.5,2.6,6.1,0.43,1.4,3.7,0.381,1.2,2.4,0.505,0.545,0.4,0.5,0.872,0.8,3.2,4.1,1.3,0.8,0.2,0.6,1.6,7.1,25.640972209979275,3.9469072449560954
69,Jalen Brunson,PG,26,NYK,68,68,35.0,8.6,17.6,0.491,2.0,4.7,0.416,6.7,12.8,0.519,0.547,4.8,5.8,0.829,0.6,3.0,3.5,6.2,0.9,0.2,2.1,2.2,24.0,2.2844281109919944,0.5303008036904306
70,Thomas Bryant,C,25,TOT,59,26,18.3,3.9,6.3,0.623,0.4,1.0,0.441,3.5,5.3,0.658,0.659,1.6,2.1,0.738,1.5,4.3,5.7,0.5,0.3,0.5,0.6,1.7,9.8,1.6850611410256988,0.015882651415693783
70,Thomas Bryant,C,25,LAL,41,25,21.4,4.8,7.3,0.654,0.5,1.2,0.44,4.3,6.1,0.697,0.691,2.0,2.6,0.741,1.6,5.2,6.8,0.7,0.3,0.6,0.7,1.9,12.1,3.095353884886813,0.5293114217481709
70,Thomas Bryant,C,25,DEN,18,1,11.4,1.8,3.8,0.485,0.2,0.5,0.444,1.6,3.3,0.492,0.515,0.7,1.0,0.722,1.1,2.3,3.3,0.1,0.1,0.4,0.6,1.4,4.6,1.1023129952430164,-0.14733177962187316
71,Reggie Bullock,SF,31,DAL,78,55,30.3,2.5,6.0,0.409,1.9,5.1,0.38,0.5,0.9,0.562,0.569,0.3,0.5,0.703,0.4,3.2,3.6,1.4,0.7,0.2,0.5,2.1,7.2,4.96032735329883,1.8575570345428645
72,Alec Burks,SG,31,DET,51,8,22.0,3.9,9.0,0.436,1.9,4.7,0.414,2.0,4.3,0.459,0.544,3.0,3.7,0.814,0.4,2.7,3.1,2.2,0.7,0.2,1.1,1.9,12.8,2.125695217772174,0.029712014968877654
73,Deonte Burton,SG,29,SAC,2,0,3.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.608315156490041,0.11454638165934194
74,Jared Butler,SG,22,OKC,6,1,12.8,2.5,5.3,0.469,1.2,2.3,0.5,1.3,3.0,0.444,0.578,0.0,0.0,0.0,0.2,0.5,0.7,1.3,0.8,0.0,0.8,0.8,6.2,-0.41853619068488873,-0.6352548540650171
75,Jimmy Butler,SF,33,MIA,64,64,33.4,7.5,13.9,0.539,0.6,1.6,0.35,6.9,12.3,0.564,0.56,7.4,8.7,0.85,2.2,3.7,5.9,5.3,1.8,0.3,1.6,1.3,22.9,7.091464834143338,0.8832424696211585
76,John Butler,C,20,POR,19,1,11.6,0.9,2.8,0.321,0.4,1.8,0.229,0.5,0.9,0.5,0.396,0.2,0.2,0.75,0.2,0.7,0.9,0.6,0.4,0.5,0.1,1.2,2.4,9.931934383638998,1.3821080517978315
