Name,Started,Games,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,EffectiveFieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,OffensiveReboundsPercentage,DefensiveReboundsPercentage,TotalReboundsPercentage,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,TrueShootingAttempts,TrueShootingPercentage,PlayerEfficiencyRating,AssistsPercentage,StealsPercentage,BlocksPercentage,TurnOversPercentage,UsageRatePercentage,PlusMinus,DoubleDoubles,TripleDoubles,Team_ATL,Team_BKN,Team_BOS,Team_CHA,Team_CHI,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_GS,Team_HOU,Team_IND,Team_LAC,Team_LAL,Team_MEM,Team_MIA,Team_MIL,Team_MIN,Team_NO,Team_NY,Team_OKC,Team_ORL,Team_PHI,Team_PHO,Team_POR,Team_SA,Team_SAC,Team_TOR,Team_UTA,Team_WAS,Position_C,Position_PF,Position_PG,Position_SF,Position_SG
Andre Iguodala,0,31,248,20,19.0,49.9,15.7,18.4,11.9,19.4,25.4,2.9,30.5,3.9,2.5,3.4,30.9,3.6,32.5,41.2,0.7000000000000001,2.4,1.5,47.0,11.1,3.7,11.5,14.0,51.1,53.5,19.7,2.4,10.2,0.4,0.6000000000000001,3.0,1.9,47.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Justin Holiday,65,74,847,12,107.5,272.7,16.2,21.8,34.6,74.2,19.2,72.9,198.6,15.1,20.6,25.5,33.2,11.9,66.3,78.3,0.30000000000000004,1.5,0.9,52.7,23.5,13.6,28.8,63.4,308.6,284.0,22.4,2.0,1.5,0.2,0.2,1.6,2.7,-84.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Giannis Antetokounmpo,68,67,908,4,283.9,512.9,22.8,24.0,254.6,413.2,25.4,29.3,99.7,12.1,227.8,315.6,29.7,55.2,265.3,320.5,1.1,12.5,3.2,159.9,29.7,37.5,90.2,87.3,824.8,651.8,26.1,15.5,13.1,0.30000000000000004,0.7000000000000001,2.1,14.5,163.6,19.0,0.7000000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ersan Ilyasova,0,1,1,12,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,-4.6,0.0,0.0,0.0,0.0,2.1,0.8,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Khris Middleton,66,66,882,4,186.2,420.7,18.3,21.5,119.5,241.8,20.4,66.7,178.8,15.4,106.7,119.9,36.7,16.9,129.8,146.7,0.4,2.6,1.5,147.5,31.3,3.1,78.3,65.9,545.9,473.4,23.8,3.7,10.5,0.30000000000000004,0.1,2.4,11.1,124.4,0.7000000000000001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Michael Carter-Williams,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Jabari Parker,0,12,46,12,3.1,15.7,19.5,23.9,1.7000000000000002,3.7,18.7,1.4,2.7,20.6,1.5,1.5,41.2,0.8,3.9,11.5,0.8,3.7,2.3,1.0,0.7000000000000001,0.2,1.4,2.2,21.8,17.3,26.0,2.9,1.3,0.30000000000000004,0.1,2.7,3.3,-2.9,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Jimmy Butler,57,57,796,1,164.0,341.5,19.8,20.5,152.9,293.8,21.4,11.1,47.8,4.0,163.2,187.5,35.8,42.0,96.4,138.4,1.0,2.3,1.7000000000000002,128.5,38.7,11.1,49.9,36.3,502.2,424.0,24.4,11.2,10.9,0.4,0.30000000000000004,1.8,11.0,100.9,2.0,0.7000000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Derrick Rose,4,26,261,4,50.3,112.9,18.3,21.1,35.0,75.0,19.2,15.2,37.9,16.6,12.4,12.8,39.9,3.6,23.5,32.1,0.6000000000000001,1.7000000000000002,1.1,42.4,3.7,2.0,16.1,2.5,128.1,118.5,22.3,3.3,11.4,0.30000000000000004,0.30000000000000004,2.0,3.9,37.9,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Taj Gibson,4,52,389,12,35.4,68.4,21.3,23.3,29.3,52.7,22.9,2.5,15.7,16.3,17.3,21.4,33.3,36.3,58.1,94.3,1.7000000000000002,2.8,2.2,13.2,3.7,16.5,11.1,56.4,94.3,77.8,25.0,2.2,0.8,0.2,0.7000000000000001,2.1,1.7000000000000002,17.7,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tony Snell,12,53,339,12,28.4,70.5,16.6,22.2,4.1,17.7,23.0,18.5,52.7,14.5,0.7000000000000001,0.7000000000000001,41.2,2.7,35.8,42.4,0.4,2.0,1.2,11.5,2.7,1.5,3.2,28.8,77.0,71.2,22.2,1.3,0.8,0.2,0.2,1.7000000000000002,1.7000000000000002,-48.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Doug McDermott,51,51,503,19,88.6,191.6,19.0,23.8,44.1,86.1,21.1,44.5,105.5,17.4,16.5,21.0,32.3,3.1,40.0,47.4,0.30000000000000004,1.4,0.8,26.4,2.2,1.0,17.7,32.5,238.1,200.8,24.4,2.4,1.2,0.1,0.1,1.4,3.1,-15.7,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
E'Twaun Moore,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Rajon Rondo,1,39,287,24,28.0,72.5,15.9,19.7,15.2,36.3,17.3,12.8,36.3,14.5,3.2,10.7,30.1,2.5,38.3,44.5,0.4,2.4,1.5,70.0,12.4,1.0,27.6,23.1,76.6,77.2,20.4,2.2,13.8,0.4,0.1,10.8,2.8,-45.3,0.2,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Al-Farouq Aminu,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Dwight Powell,71,82,741,2,110.8,165.2,27.6,28.3,105.5,150.0,29.0,2.2,15.2,14.5,68.4,87.3,32.3,71.3,95.2,166.4,1.8,2.4,2.1,40.0,15.2,16.1,26.4,90.6,295.4,203.6,29.9,3.3,1.4,0.2,0.30000000000000004,1.9,2.4,30.5,0.30000000000000004,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Trevor Ariza,11,24,190,3,13.6,40.8,13.7,17.9,2.2,10.3,21.4,3.4,30.5,11.1,1.7000000000000002,3.1,22.9,1.7000000000000002,29.7,33.8,0.4,2.8,1.6,11.1,2.2,1.0,1.9,3.4,39.6,44.1,18.5,1.5,1.3,0.2,0.2,1.6,1.9,-23.1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Dwight Howard,28,60,401,0,55.2,90.2,25.2,26.0,51.9,84.0,25.5,1.4,2.5,22.0,39.6,60.2,27.1,48.6,98.1,146.7,2.2,10.8,3.3,14.4,14.0,14.8,19.4,47.4,153.3,116.7,27.1,3.5,0.9,0.30000000000000004,0.6000000000000001,2.4,2.5,-50.7,0.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
James Harden,65,65,997,16,167.7,408.7,16.9,20.0,106.7,224.1,19.6,61.0,184.6,13.6,193.6,220.8,36.1,22.7,183.3,206.0,0.4,3.4,2.0,274.8,33.4,14.8,117.0,63.0,590.0,505.9,24.0,10.2,17.5,0.30000000000000004,0.2,3.2,11.6,71.3,17.3,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Clint Capela,73,74,840,2,152.4,248.8,25.3,25.3,152.4,248.4,25.3,0.0,0.2,0.0,33.0,69.6,19.5,114.9,246.4,361.3,2.6,13.1,4.0,37.9,22.7,38.3,18.1,68.4,337.8,279.5,24.9,4.1,1.1,0.2,0.7000000000000001,1.0,2.6,51.5,14.4,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Patrick Beverley,54,58,607,19,72.9,179.6,16.7,20.6,38.7,79.9,20.0,34.2,99.7,14.1,39.6,54.8,29.7,25.5,73.3,98.9,0.7000000000000001,2.2,1.5,110.4,27.6,21.4,30.1,71.7,219.6,203.7,22.2,3.0,10.1,0.4,0.6000000000000001,2.2,2.7,46.1,0.30000000000000004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Avery Bradley,45,62,579,21,61.0,144.2,17.4,22.2,27.2,57.7,19.4,33.8,86.5,16.1,2.7,3.1,36.6,12.8,43.3,56.0,0.4,1.4,0.9,19.4,21.8,1.5,15.7,48.6,162.3,147.5,22.7,1.6,0.8,0.30000000000000004,0.1,1.6,2.1,-74.6,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Marcus Smart,71,71,946,22,123.6,295.4,17.2,20.7,74.6,147.1,20.9,49.0,148.3,13.6,58.5,73.7,32.7,16.9,93.9,110.8,0.30000000000000004,1.8,1.1,171.4,49.0,3.1,65.9,65.9,354.7,327.9,22.3,2.7,10.5,0.4,0.1,2.8,3.1,182.1,0.30000000000000004,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Isaiah Thomas,1,22,137,19,27.6,68.8,16.5,20.0,16.1,35.0,18.9,11.5,33.8,14.0,3.7,10.7,34.9,0.7000000000000001,10.3,11.9,0.2,1.4,0.8,14.0,1.2,0.8,2.7,14.0,75.8,73.5,21.2,2.6,2.5,0.2,0.2,1.4,10.3,-4.1,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Jae Crowder,67,67,777,16,89.4,224.1,16.4,21.2,37.1,73.7,20.7,52.3,150.4,14.3,29.3,37.1,32.5,12.4,133.5,145.8,0.30000000000000004,3.0,1.7000000000000002,51.1,39.1,12.4,22.7,71.3,260.4,240.4,22.3,2.3,1.4,0.4,0.2,1.5,2.5,162.7,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Kelly Olynyk,1,41,314,21,52.7,117.8,18.5,21.3,36.3,68.8,21.7,16.5,49.0,13.8,28.4,36.7,31.9,22.2,50.7,72.9,1.2,3.1,2.1,45.7,12.8,3.2,23.9,41.2,150.4,134.0,23.2,3.3,4.0,0.30000000000000004,0.4,2.6,3.7,-28.8,0.2,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
LeBron James,56,56,859,3,263.7,503.1,21.6,24.3,197.3,318.5,25.5,66.3,184.6,14.8,104.6,138.4,31.1,26.0,163.2,189.1,0.6000000000000001,3.5,2.0,143.8,30.1,24.3,80.8,49.9,698.3,564.0,25.5,12.8,12.6,0.30000000000000004,0.4,2.1,13.4,-48.2,3.6,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Kevin Love,4,74,686,1,134.7,313.5,17.7,22.7,57.7,117.0,20.3,77.0,196.5,16.2,68.4,81.6,34.5,35.8,185.0,220.8,1.0,12.0,3.0,65.9,10.7,3.1,40.4,41.6,414.9,349.4,24.5,3.9,2.6,0.1,0.2,1.8,10.5,38.3,2.5,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Kyrie Irving,29,29,449,15,119.1,253.8,19.3,22.7,77.9,155.3,20.6,41.2,98.5,17.2,48.6,53.1,37.7,2.7,45.7,52.3,0.30000000000000004,1.8,1.1,68.8,16.9,2.9,30.1,33.4,328.0,277.2,24.3,10.6,10.4,0.30000000000000004,0.2,1.7000000000000002,12.2,49.9,0.30000000000000004,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tristan Thompson,6,58,368,20,58.1,110.0,21.8,21.9,57.7,108.8,21.8,0.2,0.5,13.7,25.1,47.8,21.7,49.4,69.2,118.7,2.6,3.6,3.1,14.0,3.9,3.6,18.1,40.4,141.7,131.0,22.3,2.9,0.9,0.2,0.30000000000000004,2.1,3.0,-28.0,0.2,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Joe Harris,14,14,172,22,23.1,51.1,18.6,25.3,2.5,14.8,17.2,16.9,36.3,19.2,0.8,1.0,34.3,0.8,21.0,23.1,0.2,2.2,1.2,2.4,1.2,0.30000000000000004,2.7,12.8,65.1,52.2,25.8,2.0,0.8,0.1,0.1,1.9,2.5,3.1,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Joe Johnson,0,1,0,23,0.2,0.2,41.2,41.2,0.2,0.2,41.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.2,41.2,18.1,0.0,0.0,0.0,0.0,3.9,-2.1,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
